locality,title,area,rent,price_per_sqft,facing,BHK,bathrooms,parking
Marathahalli,2 BHK Flat  For Sale  In Sai Pradham Residency In Marathahalli,"1,034 sqft","24,072/Month","₹4,062 per sq.ft.",West,2 BHK,2,Car
Indiranagar,"3 BHK Flat  For Sale  In Hal 2nd Stage,indiranagar  ","2,200 sqft",2.35 Lacs/Month,"₹18,636 per sq.ft.",North,3 BHK,3,Bike and Car
Indiranagar,4 BHK Flat  For Sale  In Golfridge In Indira Nagar,"2,750 sqft",1.63 Lacs/Month,"₹10,364 per sq.ft.",North,4 BHK,3,Bike and Car
Indiranagar,2 BHK Apartment  For Sale  In Team Heritage Apartments In Indiranagar,"1,100 sqft","51,583/Month","₹8,182 per sq.ft.",North,2 BHK,2,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Livintique Residence In Indiranagar,"2,450 sqft",2.01 Lacs/Month,"₹14,286 per sq.ft.",Don't Know,3 BHK,3,Bike and Car
Indiranagar,3 BHK Apartment  For Sale  In Ashiana Gardens Apartments In Indiranagar,"1,780 sqft","84,825/Month","₹8,315 per sq.ft.",North-West,3 BHK,3,Bike and Car
Indiranagar,"3 BHK Flat  For Sale  In Beverly Apartments In Hal 2nd Stage, Indiranagar","1,780 sqft","91,703/Month","₹8,989 per sq.ft.",South,3 BHK,3,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Vaishali Residency In Indiranagar,"1,300 sqft","65,911/Month","₹8,846 per sq.ft.",East,3 BHK,2,Bike and Car
Indiranagar,2 BHK Flat  For Sale  In Bharath Nivas In Kodihalli,"1,400 sqft","40,120/Month","₹5,000 per sq.ft.",North,2 BHK,2,Bike and Car
Indiranagar,2 BHK Flat  For Sale  In Maple Apartments In Indiranagar,925 sqft,"37,254/Month","₹7,027 per sq.ft.",North,2 BHK,2,Car
Indiranagar,3 BHK Apartment  For Sale  In Kristal Moonstone In Indiranagar,"1,475 sqft",1.2 Lacs/Month,"₹14,237 per sq.ft.",East,3 BHK,2,Bike and Car
Indiranagar,2 BHK Apartment  For Sale  In Ashiana Gardens Apartments In Indiranagar,"1,200 sqft","57,314/Month","₹8,333 per sq.ft.",North-West,2 BHK,2,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Apartment In Halasuru,"1,650 sqft","85,971/Month","₹9,091 per sq.ft.",Don't Know,3 BHK,3,Bike and Car
Indiranagar,"4 BHK Flat  For Sale  In Standalone Building  In Indiranagar, ","1,800 sqft","25,791/Month","₹2,500 per sq.ft.",East,4 BHK,3,Bike and Car
